year/month,tmax degC,tmin degC,af days,rain mm,sun hours
01/01/1972,6.8,2.8,3,102,48.1
01/02/1972,7,2.7,1,88.4,54.9
01/03/1972,9.1,3.8,2,61.1,127.9
01/04/1972,10.2,5.6,0,75.5,164.5
01/05/1972,12,6.9,0,65.2,178.9
01/06/1972,12.9,7.7,0,128.5,152.5
01/07/1972,17,11.7,0,67.7,182
01/08/1972,16.5,11.2,0,32.1,202.1
01/09/1972,15.2,9,0,40.6,198
01/10/1972,13.9,8.5,0,54.8,101.1
01/11/1972,9.6,5.6,1,91.7,63.7
01/12/1972,9.2,4.7,0,103.4,40.1
01/01/1973,7.4,3.5,5,45.2,40.1
01/02/1973,7.1,3.2,4,45.8,54
01/03/1973,9.1,3.5,0,36,150.5
01/04/1973,9.2,4.5,2,44.5,174.6
01/05/1973,14.2,7.9,0,66.7,167.5
01/06/1973,16.2,10,0,20.3,230
01/07/1973,16.8,11.6,0,75.4,188
01/08/1973,19.5,13.2,0,119.9,169.4
01/09/1973,16.9,11.3,0,68.7,144.8
01/10/1973,12.8,7.9,0,55.6,94.2
01/11/1973,10.1,5.9,0,83.5,56.4
01/12/1973,8.4,3.7,5,94.2,52.8
01/01/1974,8.6,3.8,2,203.2,44.6
01/02/1974,7.9,3.1,0,116.1,59.7
01/03/1974,8.5,3,2,47.6,125
01/04/1974,12.4,5.2,0,15.9,220.3
01/05/1974,13,6.9,0,51.3,195.8
01/06/1974,15.8,10.1,0,54,205.1
01/07/1974,16.7,11.6,0,54.2,173.7
01/08/1974,17.1,11.1,0,47.9,177.2
01/09/1974,14,9.2,0,124.2,118.8
01/10/1974,10.5,6.8,0,114,65.2
01/11/1974,9.3,5.2,0,89.2,60
01/12/1974,9.9,6.2,0,78.9,27.2
01/01/1975,9.1,5,0,132.3,31.5
01/02/1975,8.7,2.8,0,31.6,119.1
01/03/1975,7.2,3,3,42,115.8
01/04/1975,10.3,5,1,70.6,148.5
01/05/1975,12.5,6.6,0,23.9,267.3
01/06/1975,17,10.5,0,4.3,274.9
01/07/1975,18.7,13,0,48,195.3
01/08/1975,19.3,13.6,0,47.2,178.2
01/09/1975,15.6,10,0,66.8,154.3
01/10/1975,13.4,7.9,0,59.5,138.1
01/11/1975,9.9,5.2,0,69.1,60.7
01/12/1975,8.3,4.6,3,59.9,25.1
01/01/1976,8,4.9,2,48.1,27.9
01/02/1976,7.1,2.6,5,40.5,79.7
01/03/1976,8.1,2.2,5,62,116.1
01/04/1976,10.5,4.4,0,19.2,178.5
01/05/1976,13.5,7.6,0,56.6,164.3
01/06/1976,18.9,11.1,0,11.5,210.4
01/07/1976,19.6,13.2,0,13.2,193.5
01/08/1976,20.4,13.5,0,0.8,288.5
01/09/1976,15.6,10.6,0,157.8,99.2
01/10/1976,12.7,7.5,0,155.2,76.1
01/11/1976,9.7,5.1,0,81.1,77.7
01/12/1976,5.6,1.6,6,83,57.5
01/01/1977,5.9,1.8,8,79.3,48
01/02/1977,8.3,3.4,2,150.6,63.9
01/03/1977,9.8,4.7,0,56.9,82.3
01/04/1977,9.3,4.7,0,50.4,176.4
01/05/1977,13.7,6.8,0,50.2,285.8
01/06/1977,14.3,8.9,0,54.3,197.6
01/07/1977,18.1,12.3,0,24.9,209.8
01/08/1977,18,11.7,0,91.2,199.9
01/09/1977,15.1,10.4,0,27.8,116
01/10/1977,14.7,9.8,0,110.6,110.3
01/11/1977,9,4.8,5,118.2,63.1
