year/month,tmax degC,tmin degC,af days,rain mm,sun hours,
01/01/1972,6.4,0.6,10,109.6,38.2,
01/02/1972,7.5,1.1,7,54.6,69.8,
01/03/1972,10,1.6,9,82.4,110.3,
01/04/1972,13,3.8,2,58.2,129.7,
01/05/1972,14.2,5.8,0,85.1,130,
01/06/1972,15.6,6.6,0,63.5,139.8,
01/07/1972,19.7,10.2,0,56.4,147.1,
01/08/1972,17.8,9.3,0,37.6,96,
01/09/1972,16.4,6.4,0,9.8,121.9,
01/10/1972,13.5,6.6,0,42.5,84.8,
01/11/1972,8.3,2.3,10,82.6,58,
01/12/1972,8.8,2.6,9,69.8,48.3,
01/01/1973,7.6,2.8,6,93.8,24.5,
01/02/1973,7.1,1.5,11,63.1,64.6,
01/03/1973,10.3,2.1,8,27.6,94.3,
01/04/1973,11.5,3,5,52.8,123.8,
01/05/1973,15,6.3,0,59.8,133.5,
01/06/1973,19.1,9.7,0,26.1,157.9,
01/07/1973,19.2,11.3,0,72.3,108.6,
01/08/1973,19.7,10.8,0,78.7,124.9,
01/09/1973,17.1,9.1,0,52.1,106.4,
01/10/1973,12.1,5.5,4,57.3,79.1,
01/11/1973,8.9,2.9,8,75,44.5,
01/12/1973,7.8,2.1,6,67.8,41.5,
01/01/1974,8.7,3.4,3,117.1,36.7,
01/02/1974,7.9,2.4,6,60.2,59.6,
01/03/1974,9.2,2.1,5,31.8,92.7,
01/04/1974,13.8,3,2,38,198.1,
01/05/1974,14.1,6.5,0,86.7,130.4,
01/06/1974,17.1,8.2,0,49.8,154.4,
01/07/1974,17.5,10.3,0,97.8,116.7,
01/08/1974,18.7,10.2,0,57.6,155.7,
01/09/1974,14.5,7.4,1,99.3,104.1,
01/10/1974,10.7,4.3,1,43.7,81.6,
01/11/1974,8.2,2.2,5,71.6,78.2,
01/12/1974,9.6,4.4,2,90.1,30.5,
01/01/1975,8.5,3.4,4,110.3,50.5,
01/02/1975,8.1,2.1,6,19.9,74,
01/03/1975,8.7,1.4,10,41.5,121.2,
01/04/1975,12.9,4.5,5,38.9,139.1,
01/05/1975,15.5,4.7,1,15.4,239.3,
01/06/1975,19.7,8.4,0,15,213.1,
01/07/1975,20.8,11.8,0,34.3,126.8,
01/08/1975,21.6,12,0,47.6,148.1,
01/09/1975,15.8,8.4,0,143.5,111.4,
01/10/1975,13.4,7.6,2,60.4,79.3,
01/11/1975,9.4,3.3,4,41.1,56.3,
01/12/1975,7.9,3,6,18,25.9,
01/01/1976,7.7,3.4,6,79.1,32.7,
01/02/1976,7.6,2.1,8,40.3,44,
01/03/1976,8.7,2.4,5,55.6,67.9,
01/04/1976,13,4.4,2,17.4,149.1,
01/05/1976,14.8,6.6,0,102.1,110.4,
01/06/1976,20.2,11.1,0,53.2,174.4,
01/07/1976,20.5,12.4,0,53.2,122.3,
01/08/1976,22.4,10.3,0,13.8,237.6,
01/09/1976,15.9,8.6,0,85.2,86.7,
01/10/1976,11.9,5.7,0,135.6,74.7,
01/11/1976,8.2,2.8,6,30.7,71.5,
01/12/1976,3.9,-0.4,17,82.2,24.3,
01/01/1977,4.9,-0.2,17,89.4,50.3,
01/02/1977,6.7,1.4,6,116.3,40,
01/03/1977,9.9,3.8,2,64.6,77,
01/04/1977,11,3.5,5,50.5,137.8,
01/05/1977,15.2,4.6,2,20,226.2,
01/06/1977,17.5,7.5,0,54,170.3,
01/07/1977,20.4,11.6,0,21.8,174.8,
01/08/1977,19.2,9.7,0,97.9,173.7,
01/09/1977,15.8,8.7,0,47.2,93.2,
01/10/1977,14.2,8.7,0,66,79,
01/11/1977,7,1.2,10,91.5,58.1,
01/12/1977,8.2,3.8,3,69.4,20,
01/01/1978,5.7,0.8,11,77.4,64.7,
01/02/1978,5.9,0.4,12,47.2,61.7,
01/03/1978,9.5,2.8,6,85.4,100.6,
01/04/1978,10.6,2.9,4,26.3,109.1,
01/05/1978,16.7,6.5,0,28.6,163.8,
01/06/1978,16.9,8.8,0,42.4,123.5,
01/07/1978,18.1,10.5,0,55.8,121.9,
01/08/1978,17.8,11,0,50.9,73,
01/09/1978,16.6,10.2,0,72.2,88.6,
01/10/1978,14.2,9.2,0,44.3,88.4,
01/11/1978,10.8,5.3,4,77.2,54.4,
01/12/1978,6.4,2,9,166,42.8,
01/01/1979,3.7,-2.3,23,61.8,55.7,
01/02/1979,4.8,-0.3,16,19.2,58.5,
01/03/1979,7.6,0.7,14,72.3,103.5,
01/04/1979,10.8,3.4,2,73.7,121.7,
01/05/1979,13.1,4.5,4,99.4,153.9,
01/06/1979,17.7,9.2,0,52.7,134.4,
01/07/1979,19.1,11.3,0,34.7,107.2,
01/08/1979,18,9.7,0,107.9,123,
01/09/1979,15.9,8.5,0,40.8,101.2,
01/10/1979,13.5,7.7,1,112.4,89.4,
01/11/1979,9.7,3.3,7,98.7,62.4,
01/12/1979,6.6,2,10,91.7,45,
01/01/1980,5.2,-0.4,19,75,41.7,
01/02/1980,8.1,2,8,72.9,53.8,
01/03/1980,8.2,1.1,10,101.5,95.2,
01/04/1980,13.7,4.3,0,14,128.1,
01/05/1980,16.2,6.4,0,34.2,220.1,
01/06/1980,16.7,9.1,0,96.8,88.7,
01/07/1980,17.4,10.1,0,50.4,96.9,
01/08/1980,19.2,10.9,0,59.6,96.2,
01/09/1980,17,10.7,0,70.3,92.5,
01/10/1980,11.8,5.4,0,112,81,
01/11/1980,9.2,4,6,61.7,52.2,
01/12/1980,8.1,2.3,7,99.9,23.9,
01/01/1981,7.9,2.6,6,50.9,37.1,
01/02/1981,6.9,1.5,7,47.3,59.6,
01/03/1981,10.9,4,0,108,76.3,
01/04/1981,12.8,3.8,3,47.7,152.5,
01/05/1981,15,6.6,1,97.8,126.8,
01/06/1981,16.9,8.8,0,85,109.9,
01/07/1981,18.3,11.1,0,63.8,95.9,
01/08/1981,20,11.1,0,35.9,110,
01/09/1981,17,10,0,136.8,110.3,
01/10/1981,10.4,3.4,2,110.6,92.5,
01/11/1981,10.1,3.9,3,70.1,48.2,
01/12/1981,4,-1.1,16,69.2,17.8,
01/01/1982,6.3,0.9,14,79.9,42.3,
01/02/1982,8.1,2,9,65.7,61.2,
01/03/1982,10.1,2.1,5,101.6,134.5,
01/04/1982,14.1,4.5,2,9,141.5,
01/05/1982,15.7,6,3,30.7,170.1,
01/06/1982,18.6,10.2,0,80,132.6,
01/07/1982,20.7,11.1,0,15.1,155.9,
01/08/1982,18.9,10.5,0,64.1,122.9,
01/09/1982,16.6,9.3,0,69.3,108.8,
01/10/1982,12.8,5.9,0,101.4,77,
01/11/1982,8.7,3.3,2,131,41.3,
01/12/1982,6.9,1.2,13,114.3,41.5,
01/01/1983,8.4,2.8,4,76.5,40.5,
01/02/1983,5.5,0,13,34.4,67.5,
01/03/1983,10.1,3.9,2,79.6,54.5,
01/04/1983,10.7,1.7,11,60.1,147.6,
01/05/1983,13.8,6,0,67,117.1,
01/06/1983,17.4,9.6,0,40.2,114,
01/07/1983,23.3,12.6,0,15.1,177.1,
01/08/1983,21.4,12.5,0,32.5,117.1,
01/09/1983,16.2,9.5,0,67.6,67.1,
01/10/1983,13,6.7,2,92.4,79.7,
01/11/1983,10.1,4.1,6,28.4,27.5,
01/12/1983,8.8,4,6,111.3,29.8,
01/01/1984,5.2,-0.4,15,127.9,38.7,
01/02/1984,7.3,1.5,8,94.7,42.1,
01/03/1984,8.2,1.8,5,65.5,71.3,
01/04/1984,13.3,3.8,4,13.9,158.4,
01/05/1984,15.9,4.1,0,20.3,214.1,
01/06/1984,18.8,10.2,0,47.4,132.3,
01/07/1984,21,11,0,49.9,173,
01/08/1984,21.1,11.7,0,87.2,141.5,
01/09/1984,15.9,8.8,0,78.8,96.5,
01/10/1984,13.3,6.1,2,79.7,87.7,
01/11/1984,8.7,2.9,5,90.8,48.4,
01/12/1984,8,2.4,7,81.6,28.4,
01/01/1985,3.2,-2.2,25,46.8,52.5,
01/02/1985,6.5,1,14,23.5,69.6,
01/03/1985,8.4,1.4,8,57.6,85.1,
01/04/1985,12.7,4.8,2,50.5,126.5,
01/05/1985,14.6,6,0,63.2,145.4,
01/06/1985,17.1,7.7,0,55.1,154.3,
01/07/1985,18.8,11.2,0,99.4,89.6,
01/08/1985,16.9,10,0,136.8,98.3,
01/09/1985,17.6,10.2,0,88.3,79.7,
01/10/1985,13.8,7.3,0,42.7,71.2,
01/11/1985,7.9,-0.1,18,40.4,62.7,
01/12/1985,8.6,3.2,6,60.1,46.9,
01/01/1986,6.5,0.5,12,105,41.6,
01/02/1986,3.5,-1.7,19,4.4,68.1,
01/03/1986,9.4,1.8,8,71.3,113.8,
01/04/1986,10,1.5,7,99.6,138,
01/05/1986,14,6.5,0,98.4,159.6,
