year/month,tmax degC,tmin degC,af days,rain mm,sun hours,
01/01/1972,6.4,2,6,60.5,41.8,
01/02/1972,7,2.5,1,50.8,27.3,
01/03/1972,11.8,2.8,4,63.2,144,
01/04/1972,12.2,5.4,0,45.8,117.6,
01/05/1972,15.1,7.4,0,49.8,141.9,
01/06/1972,16.6,8.8,0,55.8,150.4,
01/07/1972,21,11.8,0,23.3,168.7,
01/08/1972,20.7,11.6,0,29.8,160.9,
01/09/1972,16.5,8.3,0,31,129.1,
01/10/1972,14.8,7.4,0,25.9,91.6,
01/11/1972,9.5,3.8,7,65.8,80.6,
01/12/1972,8.7,3.5,2,74,47.6,
01/01/1973,6.8,2.1,10,24.4,38.8,
01/02/1973,7.7,1.3,11,15,74.1,
01/03/1973,11,2.1,4,10.8,150.7,
01/04/1973,12.1,4.2,2,42.4,167.7,
01/05/1973,16.2,8.1,0,71.2,168,
01/06/1973,20.9,10.9,0,109.3,249.5,
01/07/1973,20.8,12.2,0,60,171.1,
01/08/1973,22.5,12.8,0,28.8,192,
01/09/1973,19.7,11,0,32.7,153.9,
01/10/1973,12.8,5.5,1,40.8,95.1,
01/11/1973,9.8,3.2,10,28.3,89.1,
01/12/1973,8.3,2.3,8,30.9,62.9,
01/01/1974,9.3,3.6,3,65,56.3,
01/02/1974,8.7,3.1,4,77.7,58.3,
01/03/1974,9.3,2.4,6,36.7,101.7,
01/04/1974,13,3.8,0,4.2,142.1,
01/05/1974,16.1,6.8,0,31.6,191.4,
01/06/1974,19.1,10.1,0,78.7,206.2,
01/07/1974,20.1,12.2,0,41.7,187.8,
01/08/1974,20.6,11.3,0,97.2,198.7,
01/09/1974,16.5,9.1,0,156.1,146.5,
01/10/1974,11,4.9,1,66.4,105.4,
01/11/1974,10.1,5,0,95.1,52.9,
01/12/1974,10.6,5.9,0,33.4,58.8,
01/01/1975,9.8,4.6,1,69.4,44.7,
01/02/1975,7.9,1.8,4,29.7,57.8,
01/03/1975,7.8,2.5,6,95.2,72.7,
01/04/1975,12.8,5.3,4,46.9,131.4,
01/05/1975,14.3,6.4,0,49,159.1,
01/06/1975,21.5,9.4,0,18,301,
01/07/1975,23.8,13.4,0,34.1,242.4,
01/08/1975,25.1,14.1,0,30.2,218.6,
01/09/1975,18.7,9.9,0,95.3,147,
01/10/1975,14.2,6.5,1,11,120.7,
01/11/1975,9.8,2.5,7,37.9,85.1,
01/12/1975,7.5,1.7,10,21.7,34.4,
01/01/1976,8.5,3.4,8,18.9,70.3,
01/02/1976,7.5,2.3,8,18.8,42.6,
01/03/1976,9,1.7,11,16,107.8,
