year/month,tmax degC,tmin degC,af days,rain mm,sun hours,
01/01/1972,6.2,2.4,6,63.2,33.1,
01/02/1972,6.4,2.6,2,68.8,53.7,
01/03/1972,7.9,3,4,21.7,112.8,
01/04/1972,10.1,3.6,0,52.4,148.1,
01/05/1972,11.5,6.1,0,37.1,142.9,
01/06/1972,13.3,7.2,0,65.7,173.6,
01/07/1972,15.7,9.4,0,47,160,
01/08/1972,15,8.8,0,34.9,127.3,
01/09/1972,13.2,6.4,1,24.5,105.3,
01/10/1972,12.5,6.9,0,22.9,110.7,
01/11/1972,8.2,2.1,8,96.6,54.7,
01/12/1972,7.5,2.5,7,27.5,54.9,
01/01/1973,7.4,2.8,2,31.2,44,
01/02/1973,6,-0.6,13,67.2,80.6,
01/03/1973,9.4,2.4,8,14.1,117.9,
01/04/1973,7.9,1.6,9,95.8,124.9,
01/05/1973,11.1,5.1,0,49,159.5,
01/06/1973,15.2,8.4,0,44.3,103.8,
01/07/1973,15.6,9.6,0,54.3,120.9,
01/08/1973,15.9,9.1,0,102.8,156.2,
01/09/1973,14.1,8.2,0,81.9,92.1,
01/10/1973,11.1,4,8,57.3,112.6,
01/11/1973,7.5,1.8,10,161.9,46.6,
01/12/1973,6.3,0.6,10,103,13.7,
01/01/1974,7.5,2.9,0,51.2,46.4,
01/02/1974,7.1,2.1,5,69.2,38.2,
01/03/1974,7.3,2.4,5,35,103.2,
01/04/1974,9.4,3.6,2,15.3,143.6,
01/05/1974,11.7,6.6,0,51.1,161,
01/06/1974,14,7.7,0,56.2,166.7,
01/07/1974,15.7,8.8,0,55.7,154.2,
01/08/1974,16.3,9.5,0,66.8,139.1,
01/09/1974,13.3,6.5,2,65.5,130.7,
01/10/1974,10,4.6,1,71.7,62,
01/11/1974,8.3,3.4,2,114,42.4,
01/12/1974,7.5,2.6,5,81.2,35.4,
01/01/1975,7.2,0.9,12,80.5,53.1,
01/02/1975,7,2.3,2,14.9,110.1,
01/03/1975,6.8,1.2,9,40.2,111.4,
01/04/1975,8.8,2.5,6,58.8,98.8,
01/05/1975,10.1,4.3,0,33.2,148.1,
01/06/1975,14.9,6.9,1,22.2,200.9,
01/07/1975,16.1,10,0,46.2,114.8,
01/08/1975,17.6,11,0,58.6,175,
01/09/1975,14.2,7.4,0,92.1,114.4,
01/10/1975,12.4,7.5,1,22.4,104.5,
01/11/1975,8.7,3.7,3,70.6,35.3,
01/12/1975,8,3,3,82.6,29.7,
01/01/1976,5.9,1,9,134.4,26.5,
01/02/1976,7,2.7,3,57.2,72.2,
01/03/1976,6.5,2.1,4,75.2,90.3,
01/04/1976,9.9,3.8,3,14.5,102.1,
01/05/1976,12,6.3,0,29.5,179.5,
01/06/1976,16.1,8.7,0,23.3,138.2,
01/07/1976,17.8,10.9,0,34.1,194.3,
01/08/1976,17.3,9.5,0,20.8,214.3,
01/09/1976,13.3,9.1,0,93.5,71.6,
01/10/1976,11.9,7.4,0,84.1,74.4,
01/11/1976,8.6,3.1,4,32.9,92.7,
01/12/1976,4.5,-0.7,15,63.9,26.4,
01/01/1977,5.2,0.2,13,77.7,58,
01/02/1977,5.3,0.6,12,60.6,77.1,
01/03/1977,7.9,3.1,4,46.2,88.4,
01/04/1977,8.3,2.4,6,74.4,148.4,
01/05/1977,11.1,4.8,3,70.4,196.2,
01/06/1977,12.9,6.5,0,60.3,164.2,
01/07/1977,15.1,9.3,0,33.2,132.3,
01/08/1977,15,9.6,0,83.3,142.8,
01/09/1977,13.1,7.6,0,62.4,110.5,
01/10/1977,12.4,7.8,0,31.3,71.6,
01/11/1977,7.4,2.1,6,111.2,51.2,
01/12/1977,7.6,2.5,5,41.6,25.7,
01/01/1978,5.1,-0.2,16,92.4,41.5,
01/02/1978,4.1,-1.6,12,72.2,68.9,
01/03/1978,8.1,2,8,94.6,126.2,
01/04/1978,7.6,2.1,8,35.3,121,
01/05/1978,12.1,6,0,21.2,198.5,
01/06/1978,13.9,8.3,0,29.9,140.3,
01/07/1978,14,8.9,0,50.6,100.6,
01/08/1978,14.8,9.8,0,41.8,106,
01/09/1978,13.9,7.6,0,113.7,128.6,
01/10/1978,12.7,6.6,0,55.5,75.8,
01/11/1978,9.2,3.4,6,69.3,53.5,
01/12/1978,5.8,3.3,5,63.4,17.9,
01/01/1979,3.4,-2.1,20,66.5,27.1,
01/02/1979,3.7,-1,15,23.9,92.6,
01/03/1979,5.9,0.1,12,71.6,107.7,
01/04/1979,8.6,3.1,3,87,99.3,
01/05/1979,10.5,3.6,8,67.8,167.8,
01/06/1979,13.7,8.1,0,59.7,170.2,
01/07/1979,15.2,9.3,0,86.9,92.3,
01/08/1979,14.7,9.2,0,72,105.8,
01/09/1979,14.4,7.4,0,56.9,155.5,
01/10/1979,11.7,8.3,0,104.5,78.8,
01/11/1979,7.7,2.3,5,131.1,41.8,
01/12/1979,6.1,2.2,4,107.1,35.3,
01/01/1980,5.1,1.7,5,76.3,36.8,
01/02/1980,6.4,1.6,5,58.2,59.1,
01/03/1980,5.9,1.5,9,71.8,75.6,
01/04/1980,10,3.7,0,15.3,141.5,
01/05/1980,11,4.8,2,9.5,165.6,
01/06/1980,14.5,8.9,0,55.7,123.4,
01/07/1980,14.4,9.5,0,58.6,100.9,
01/08/1980,15,10.2,0,65.8,91.7,
01/09/1980,14.8,9.3,0,98.7,104.7,
01/10/1980,10,5.1,0,116.2,85.7,
01/11/1980,7.7,3.1,5,134.6,35.8,
01/12/1980,7,2,3,111.3,19.4,
01/01/1981,6.2,-0.5,16,97.6,42.3,
01/02/1981,5.7,1.4,6,58.5,78.9,
01/03/1981,7.3,2,6,72.8,98,
01/04/1981,9.1,2.2,9,30.5,157.9,
01/05/1981,11.3,6.2,1,43.4,175.2,
01/06/1981,13.6,7.8,0,85.5,130.3,
01/07/1981,15.8,9.9,0,63.9,121.6,
01/08/1981,15.9,9.9,0,61.9,113,
01/09/1981,14.7,9.4,0,103.2,95.5,
01/10/1981,8.9,2.6,4,130.9,91.3,
01/11/1981,8.1,2.8,6,125.3,53,
01/12/1981,3.9,-1.7,17,71.6,28.8,
01/01/1982,4.8,0.1,10,80.8,35.3,
01/02/1982,6.8,2.3,3,26.1,78.3,
01/03/1982,8,2.2,5,92.4,120.6,
01/04/1982,9.8,3.9,3,36.3,103.9,
01/05/1982,12.1,4.3,5,61.7,225.7,
01/06/1982,13.4,8.3,0,13.8,149.4,
01/07/1982,16.7,10.3,0,49.4,167.4,
01/08/1982,16,9.9,0,73.3,130.4,
01/09/1982,14.1,7.9,0,102.9,99.5,
01/10/1982,11.6,7.4,0,70.9,72.7,
01/11/1982,8.3,2.8,6,117.4,47.3,
01/12/1982,5.9,0.5,13,115.8,26.7,
01/01/1983,7,1.8,9,104.3,25.2,
01/02/1983,4.7,-0.6,12,47.6,59.7,
01/03/1983,8.3,2.7,6,71.9,69.4,
01/04/1983,7.6,1.3,10,41.5,110.6,
01/05/1983,9.8,5.2,1,34.1,94.5,
01/06/1983,13.5,7.7,0,51.4,167.2,
01/07/1983,16.7,9.8,0,23.7,165.1,
01/08/1983,16.7,10.4,0,24.9,122.3,
01/09/1983,13.4,8.5,0,88.1,77.5,
01/10/1983,11.6,5.5,1,92.6,78,
01/11/1983,8.9,4.4,4,31.7,26,
01/12/1983,8,2.6,6,114.8,15.6,
01/01/1984,3.9,-1.9,19,136.9,37.5,
01/02/1984,6.5,1.9,7,58.8,45.8,
01/03/1984,6.5,2,4,56.2,72.5,
01/04/1984,9.3,3.1,1,47.6,154.2,
01/05/1984,11.2,4.2,0,11.8,177.4,
01/06/1984,14.3,8.3,0,50.9,106,
01/07/1984,16.3,10.3,0,34.9,91.5,
01/08/1984,17.4,10.1,0,16.9,173.3,
01/09/1984,13.2,7.7,0,99,90,
01/10/1984,12,5.3,1,176.1,114.8,
01/11/1984,9.3,5.1,2,137.3,36.5,
01/12/1984,7.8,3,5,85.9,40.6,
01/01/1985,4.4,-1,15,83.2,33.3,
01/02/1985,6.4,1.1,5,30.4,84.4,
01/03/1985,6.3,1,10,76.9,108.3,
01/04/1985,9.1,3,4,87.7,120.2,
